Date,RTO,Product,Spend
30/4/2018,"Auckland Tourism, Events and Economic Development (ATEED)",Accommodation services,10.73948661
30/4/2018,"Auckland Tourism, Events and Economic Development (ATEED)","Cultural, recreation, and gambling services",3.820427787
30/4/2018,"Auckland Tourism, Events and Economic Development (ATEED)",Food and beverage serving services,29.73382309
30/4/2018,"Auckland Tourism, Events and Economic Development (ATEED)",Other passenger transport,4.639330729
30/4/2018,"Auckland Tourism, Events and Economic Development (ATEED)",Other tourism products,13.27237868
30/4/2018,"Auckland Tourism, Events and Economic Development (ATEED)","Retail sales - alcohol, food, and beverages",26.56080103
30/4/2018,"Auckland Tourism, Events and Economic Development (ATEED)",Retail sales - fuel and other automotive products,15.08827245
30/4/2018,"Auckland Tourism, Events and Economic Development (ATEED)",Retail sales - other,53.65168065
30/4/2018,Central Economic Development Agency (CEDA),Accommodation services,1.455153307
30/4/2018,Central Economic Development Agency (CEDA),"Cultural, recreation, and gambling services",0.210525386
30/4/2018,Central Economic Development Agency (CEDA),Food and beverage serving services,3.299830849
30/4/2018,Central Economic Development Agency (CEDA),Other passenger transport,0.373238985
30/4/2018,Central Economic Development Agency (CEDA),Other tourism products,1.712309642
30/4/2018,Central Economic Development Agency (CEDA),"Retail sales - alcohol, food, and beverages",3.609419913
30/4/2018,Central Economic Development Agency (CEDA),Retail sales - fuel and other automotive products,2.179208538
30/4/2018,Central Economic Development Agency (CEDA),Retail sales - other,8.600978918
30/4/2018,ChristchurchNZ,Accommodation services,5.812109715
30/4/2018,ChristchurchNZ,"Cultural, recreation, and gambling services",1.261094418
30/4/2018,ChristchurchNZ,Food and beverage serving services,11.18431602
30/4/2018,ChristchurchNZ,Other passenger transport,2.251963895
30/4/2018,ChristchurchNZ,Other tourism products,5.029640337
30/4/2018,ChristchurchNZ,"Retail sales - alcohol, food, and beverages",10.35137635
30/4/2018,ChristchurchNZ,Retail sales - fuel and other automotive products,7.324594365
30/4/2018,ChristchurchNZ,Retail sales - other,23.65380784
30/4/2018,Destination Clutha,Accommodation services,0.290313175
30/4/2018,Destination Clutha,"Cultural, recreation, and gambling services",0.059991944
30/4/2018,Destination Clutha,Food and beverage serving services,0.431548448
30/4/2018,Destination Clutha,Other passenger transport,0.040685682
30/4/2018,Destination Clutha,Other tourism products,0.135225946
30/4/2018,Destination Clutha,"Retail sales - alcohol, food, and beverages",0.700304525
30/4/2018,Destination Clutha,Retail sales - fuel and other automotive products,0.766809309
30/4/2018,Destination Clutha,Retail sales - other,0.349932443
30/4/2018,Destination Coromandel,Accommodation services,1.508235983
30/4/2018,Destination Coromandel,"Cultural, recreation, and gambling services",0.588300292
30/4/2018,Destination Coromandel,Food and beverage serving services,4.133816111
30/4/2018,Destination Coromandel,Other passenger transport,0.319095509
30/4/2018,Destination Coromandel,Other tourism products,0.915352948
30/4/2018,Destination Coromandel,"Retail sales - alcohol, food, and beverages",5.999237575
30/4/2018,Destination Coromandel,Retail sales - fuel and other automotive products,3.568326635
30/4/2018,Destination Coromandel,Retail sales - other,4.431643894
30/4/2018,Destination Fiordland,Accommodation services,0.766658774
30/4/2018,Destination Fiordland,"Cultural, recreation, and gambling services",0.09537471
30/4/2018,Destination Fiordland,Food and beverage serving services,0.497578723
30/4/2018,Destination Fiordland,Other passenger transport,0.47698507
30/4/2018,Destination Fiordland,Other tourism products,0.049670051
30/4/2018,Destination Fiordland,"Retail sales - alcohol, food, and beverages",0.406172253
30/4/2018,Destination Fiordland,Retail sales - fuel and other automotive products,0.362464859
30/4/2018,Destination Fiordland,Retail sales - other,0.240729325
30/4/2018,Destination Great Lake Taupo,Accommodation services,3.21677131
30/4/2018,Destination Great Lake Taupo,"Cultural, recreation, and gambling services",1.544453867
30/4/2018,Destination Great Lake Taupo,Food and beverage serving services,4.419847931
30/4/2018,Destination Great Lake Taupo,Other passenger transport,0.299706401
30/4/2018,Destination Great Lake Taupo,Other tourism products,0.748154992
30/4/2018,Destination Great Lake Taupo,"Retail sales - alcohol, food, and beverages",3.208936418
30/4/2018,Destination Great Lake Taupo,Retail sales - fuel and other automotive products,3.624674731
30/4/2018,Destination Great Lake Taupo,Retail sales - other,5.478839892
30/4/2018,Destination Kaikoura,Accommodation services,0.707777798
30/4/2018,Destination Kaikoura,"Cultural, recreation, and gambling services",0.209769252
30/4/2018,Destination Kaikoura,Food and beverage serving services,0.70793088
30/4/2018,Destination Kaikoura,Other passenger transport,0.05158413
30/4/2018,Destination Kaikoura,Other tourism products,0.098180193
30/4/2018,Destination Kaikoura,"Retail sales - alcohol, food, and beverages",0.724809632
30/4/2018,Destination Kaikoura,Retail sales - fuel and other automotive products,0.544201567
30/4/2018,Destination Kaikoura,Retail sales - other,0.409269181
30/4/2018,Destination Marlborough,Accommodation services,2.067599931
30/4/2018,Destination Marlborough,"Cultural, recreation, and gambling services",0.208042079
30/4/2018,Destination Marlborough,Food and beverage serving services,2.055571158
30/4/2018,Destination Marlborough,Other passenger transport,0.690368634
30/4/2018,Destination Marlborough,Other tourism products,0.542358516
30/4/2018,Destination Marlborough,"Retail sales - alcohol, food, and beverages",2.579572383
30/4/2018,Destination Marlborough,Retail sales - fuel and other automotive products,1.882798318
30/4/2018,Destination Marlborough,Retail sales - other,2.284520329
30/4/2018,Destination Queenstown,Accommodation services,5.606690385
30/4/2018,Destination Queenstown,"Cultural, recreation, and gambling services",2.100368732
30/4/2018,Destination Queenstown,Food and beverage serving services,6.986228872
30/4/2018,Destination Queenstown,Other passenger transport,1.339871241
30/4/2018,Destination Queenstown,Other tourism products,0.968652611
30/4/2018,Destination Queenstown,"Retail sales - alcohol, food, and beverages",4.558354266
30/4/2018,Destination Queenstown,Retail sales - fuel and other automotive products,1.688169281
30/4/2018,Destination Queenstown,Retail sales - other,6.756897812
30/4/2018,Destination Rotorua,Accommodation services,3.81810824
30/4/2018,Destination Rotorua,"Cultural, recreation, and gambling services",3.670474908
30/4/2018,Destination Rotorua,Food and beverage serving services,3.864576755
30/4/2018,Destination Rotorua,Other passenger transport,0.462024357
30/4/2018,Destination Rotorua,Other tourism products,0.836056747
30/4/2018,Destination Rotorua,"Retail sales - alcohol, food, and beverages",4.269029352
30/4/2018,Destination Rotorua,Retail sales - fuel and other automotive products,2.714184357
30/4/2018,Destination Rotorua,Retail sales - other,5.635948848
30/4/2018,Destination Wairarapa,Accommodation services,0.829221907
30/4/2018,Destination Wairarapa,"Cultural, recreation, and gambling services",0.175756113
30/4/2018,Destination Wairarapa,Food and beverage serving services,1.582599273
30/4/2018,Destination Wairarapa,Other passenger transport,0.182200854
30/4/2018,Destination Wairarapa,Other tourism products,0.470351889
30/4/2018,Destination Wairarapa,"Retail sales - alcohol, food, and beverages",2.572584791
30/4/2018,Destination Wairarapa,Retail sales - fuel and other automotive products,1.371075899
30/4/2018,Destination Wairarapa,Retail sales - other,2.957905992
30/4/2018,Development West Coast,Accommodation services,2.69197024
30/4/2018,Development West Coast,"Cultural, recreation, and gambling services",0.351616431
30/4/2018,Development West Coast,Food and beverage serving services,1.280934691
30/4/2018,Development West Coast,Other passenger transport,0.304259348
